source_portal,source_url,slug,product_id,name,brand,price_eur,score,power,control,comfort,spin,forgiveness,maneuverability,low_speed
extreme-tennis,https://www.extreme-tennis.eu/adidas-padel-racket/22529-adidas-metalbone-2026-galan-racket.html,22529-adidas-metalbone-2026-galan-racket,22529,Adidas Metalbone 2026 Galán Racket,Adidas,329.8,70.4,87,57,72,68,71,56,82
extreme-tennis,https://www.extreme-tennis.eu/adidas-padel-racket/22530-adidas-metalbone-hrd-2026-galan-racket.html,22530-adidas-metalbone-hrd-2026-galan-racket,22530,Adidas Metalbone HRD+ 2026 Galán Racket,Adidas,329.8,68.1,92,56,64,68,64,52,81
extreme-tennis,https://www.extreme-tennis.eu/head-padel-rackets/23107-head-coello-motion-2026-padel-racket.html,23107-head-coello-motion-2026-padel-racket,23107,Head Coello Motion 2026 Padel Racket,Head,288.8,71.7,79,60,76,78,68,61,80
extreme-tennis,https://www.extreme-tennis.eu/head-padel-rackets/23110-head-coello-pro-2026-padel-racket.html,23110-head-coello-pro-2026-padel-racket,23110,Head Coello Pro 2026 Padel Racket,Head,288.8,71.6,92,57,73,78,67,47,87
extreme-tennis,https://www.extreme-tennis.eu/wilson-padel-rackets/23099-wilson-endure-ls-v1-racket.html,23099-wilson-endure-ls-v1-racket,23099,Wilson Endure LS V1 racket,Wilson,174.8,79.7,54,78,92,75,95,86,78
extreme-tennis,https://www.extreme-tennis.eu/wilson-padel-rackets/23096-wilson-endure-v1-racket.html,23096-wilson-endure-v1-racket,23096,Wilson Endure V1 racket,Wilson,209.8,77.7,65,89,75,75,86,85,69
extreme-tennis,https://www.extreme-tennis.eu/wilson-padel-rackets/23097-wilson-endure-pro-v1-racket.html,23097-wilson-endure-pro-v1-racket,23097,Wilson Endure Pro V1 racket,Wilson,254.8,76.7,66,89,73,75,80,84,70
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22046-bullpadel-vertex-05-26-racket.html,22046-bullpadel-vertex-05-26-racket,22046,Bullpadel Vertex 05 26 racket,Bullpadel,304.8,72.6,83,76,62,88,65,62,72
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/23305-bullpadel-vertex-05-geo-premier-padel-26-racket.html,23305-bullpadel-vertex-05-geo-premier-padel-26-racket,23305,Bullpadel Vertex 05 Geo Premier Padel 26 Racket,Bullpadel,341.8,73.0,78,78,63,88,67,68,69
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22059-bullpadel-vertex-05-geo-26-racket.html,22059-bullpadel-vertex-05-geo-26-racket,22059,Bullpadel Vertex 05 Geo 26 racket,Bullpadel,304.8,73.0,78,78,63,88,67,68,69
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22050-bullpadel-neuron-02-26-racket.html,22050-bullpadel-neuron-02-26-racket,22050,Bullpadel Neuron 02 26 racket,Bullpadel,279.8,73.0,75,87,65,67,73,78,66
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/23334-bullpadel-neuron-02-premier-padel-26-padel-racket.html,23334-bullpadel-neuron-02-premier-padel-26-padel-racket,23334,Bullpadel Neuron 02 Premier Padel 26 Padel Racket,Bullpadel,339.8,73.0,75,87,64,67,73,79,66
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22060-bullpadel-neuron-02-edge-26-racket.html,22060-bullpadel-neuron-02-edge-26-racket,22060,Bullpadel Neuron 02 Edge 26 racket,Bullpadel,287.85,70.3,78,79,62,68,67,69,69
extreme-tennis,https://www.extreme-tennis.eu/oxdog-padel-rackets/22439-oxdog-ultimate-pro-2026-racket.html,22439-oxdog-ultimate-pro-2026-racket,22439,Oxdog Ultimate Pro 2026 Racket,Oxdog,329.9,69.9,88,83,53,78,62,64,61
extreme-tennis,https://www.extreme-tennis.eu/oxdog-padel-rackets/22441-oxdog-pure-pro-2026-racket.html,22441-oxdog-pure-pro-2026-racket,22441,Oxdog Pure Pro+ 2026 Racket,Oxdog,299.9,74.1,75,92,60,85,69,82,56
extreme-tennis,https://www.extreme-tennis.eu/oxdog-padel-rackets/22449-oxdog-hyper-pro-20-2026-racket.html,22449-oxdog-hyper-pro-20-2026-racket,22449,Oxdog Hyper Pro 2.0 2026 Racket,Oxdog,309.9,75.6,83,86,67,87,68,71,67
extreme-tennis,https://www.extreme-tennis.eu/oxdog-padel-rackets/22450-oxdog-hyper-pro-plus-20-2026-racket.html,22450-oxdog-hyper-pro-plus-20-2026-racket,22450,Oxdog Hyper Pro+ 2.0 2026 Racket,Oxdog,319.9,75.3,79,91,67,87,65,76,62
extreme-tennis,https://www.extreme-tennis.eu/nox-padel-rackets/22224-nox-ea10-ventus-attack-12k-xtreme-2026-racket.html,22224-nox-ea10-ventus-attack-12k-xtreme-2026-racket,22224,Nox EA10 Ventus Attack 12K Xtreme 2026 racket,Nox,263.8,75.6,81,81,67,98,66,67,69
extreme-tennis,https://www.extreme-tennis.eu/tecnifibre-padel-rackets/23234-tecnifibre-bomba-max-padel-racket.html,23234-tecnifibre-bomba-max-padel-racket,23234,Tecnifibre Bomba Max Padel Racket,Tecnifibre,269.9,73.1,91,72,64,88,67,58,72
extreme-tennis,https://www.extreme-tennis.eu/tecnifibre-padel-rackets/23231-tecnifibre-bomba-speed-padel-racket.html,23231-tecnifibre-bomba-speed-padel-racket,23231,Tecnifibre Bomba Speed Padel Racket,Tecnifibre,239.9,73.1,82,83,63,88,65,68,63
extreme-tennis,https://www.extreme-tennis.eu/tecnifibre-padel-rackets/23230-tecnifibre-bomba-soft-padel-racket.html,23230-tecnifibre-bomba-soft-padel-racket,23230,Tecnifibre Bomba Soft Padel Racket,Tecnifibre,199.9,76.6,74,61,88,88,79,59,87
extreme-tennis,https://www.extreme-tennis.eu/tecnifibre-padel-rackets/23229-tecnifibre-bomba-lite-padel-racket.html,23229-tecnifibre-bomba-lite-padel-racket,23229,Tecnifibre Bomba Lite Padel Racket,Tecnifibre,169.9,74.9,69,62,86,88,77,69,73
extreme-tennis,https://www.extreme-tennis.eu/head-padel-rackets/23101-head-coello-vibe-2026-padel-racket.html,23101-head-coello-vibe-2026-padel-racket,23101,Head Coello Vibe 2026 Padel Racket,Head,115.8,71.7,78,53,91,52,82,57,89
extreme-tennis,https://www.extreme-tennis.eu/head-padel-rackets/23147-head-coello-team-2026-padel-racket.html,23147-head-coello-team-2026-padel-racket,23147,Head Coello Team 2026 Padel Racket,Head,181.8,70.7,71,63,85,53,77,63,83
extreme-tennis,https://www.extreme-tennis.eu/head-padel-rackets/22411-head-radical-pro-2026-racket.html,22411-head-radical-pro-2026-racket,22411,Head Radical Pro 2026 Racket,Head,197.8,68.6,87,80,58,52,69,64,70
extreme-tennis,https://www.extreme-tennis.eu/head-padel-rackets/22412-head-radical-motion-2026-racket.html,22412-head-radical-motion-2026-racket,22412,Head Radical Motion 2026 Racket,Head,159.8,70.3,76,88,67,52,69,78,62
extreme-tennis,https://www.extreme-tennis.eu/head-padel-rackets/22413-head-radical-team-2026-racket.html,22413-head-radical-team-2026-racket,22413,Head Radical Team 2026 Racket,Head,148.8,73.6,64,79,85,52,81,77,77
extreme-tennis,https://www.extreme-tennis.eu/head-padel-rackets/22414-head-radical-team-light-2026-racket.html,22414-head-radical-team-light-2026-racket,22414,Head Radical Team Light 2026 Racket,Head,123.8,72.9,57,56,99,50,91,73,84
