source_portal,source_url,slug,name,brand,description,published_at,overall_rating,power,control,rebound,maneuverability,sweet_spot
padelful,https://www.padelful.com/en/rackets/adidas-adipower-3-1-2022,adidas-adipower-3-1-2022,Adidas Adipower 3.1 2022,Adidas,,2022-08-06T20:11:33.772Z,8.6,9.6,8.9,8.6,8.0,8.1
padelful,https://www.padelful.com/en/rackets/adidas-adipower-3-2-2023,adidas-adipower-3-2-2023,Adidas Adipower 3.2 2023,Adidas,,2023-08-04T19:38:05.101Z,8.7,9.6,9.0,8.7,8.0,8.1
padelful,https://www.padelful.com/en/rackets/adidas-adipower-3-2,adidas-adipower-3-2,Adidas Adipower 3.2,Adidas,,2023-07-13T01:00:30.000Z,8.7,9.5,9.0,8.6,8.1,8.1
padelful,https://www.padelful.com/en/rackets/adidas-adipower-carbon-ctrl-3-4-2025,adidas-adipower-carbon-ctrl-3-4-2025,Adidas Adipower Carbon CTRL 3.4 2025,Adidas,,2025-02-12T15:17:42.150Z,8.4,6.9,9.0,8.0,9.0,9.1
padelful,https://www.padelful.com/en/rackets/adidas-adipower-carbon-light-3-4-2025,adidas-adipower-carbon-light-3-4-2025,Adidas Adipower Carbon Light 3.4 2025,Adidas,,2025-02-12T15:19:36.503Z,8.4,6.4,8.9,8.1,9.5,8.9
padelful,https://www.padelful.com/en/rackets/adidas-adipower-control-multiweight-pro-edt-2024-alex-ruiz,adidas-adipower-control-multiweight-pro-edt-2024-alex-ruiz,Adidas Adipower Control Multiweight Pro EDT 2024 Alex Ruiz,Adidas,,2024-10-02T05:38:18.190Z,8.5,5.9,8.5,9.7,9.5,9.0
padelful,https://www.padelful.com/en/rackets/adidas-adipower-ctrl-3-1-2022,adidas-adipower-ctrl-3-1-2022,Adidas Adipower CTRL 3.1 2022,Adidas,,2022-07-31T20:49:23.247Z,8.6,8.4,9.9,7.3,8.4,8.8
padelful,https://www.padelful.com/en/rackets/adidas-adipower-ctrl-3-2-2023,adidas-adipower-ctrl-3-2-2023,Adidas Adipower CTRL 3.2 2023,Adidas,,2023-07-26T20:00:30.000Z,8.8,8.7,10.0,7.5,8.6,9.1
padelful,https://www.padelful.com/en/rackets/adidas-adipower-ctrl-3-3-2024,adidas-adipower-ctrl-3-3-2024,Adidas Adipower CTRL 3.3 2024,Adidas,,2023-12-20T12:07:20.266Z,8.4,7.1,8.9,7.9,9.0,9.0
padelful,https://www.padelful.com/en/rackets/adidas-adipower-ctrl-lite-3-1-2022,adidas-adipower-ctrl-lite-3-1-2022,Adidas Adipower CTRL Lite 3.1 2022,Adidas,,2022-08-01T21:15:43.031Z,8.1,5.8,8.4,8.5,8.9,8.7
padelful,https://www.padelful.com/en/rackets/adidas-adipower-ctrl-team-2023,adidas-adipower-ctrl-team-2023,Adidas Adipower CTRL Team 2023,Adidas,,2023-08-05T20:23:30.270Z,8.1,5.8,8.7,8.4,9.1,8.4
padelful,https://www.padelful.com/en/rackets/adidas-adipower-ctrl-team-3-3-2024,adidas-adipower-ctrl-team-3-3-2024,Adidas Adipower CTRL Team 3.3 2024,Adidas,,2023-12-20T12:26:13.471Z,8.1,5.9,8.4,8.4,9.1,8.6
