unified_id,canonical_name,brand,year,source_count,reliability_score,source_portals,source_urls_json,aliases_json,slug_canonical,shape,balance,surface,level,feel,weight_raw,image_source_recommended,overall_rating_avg,power_avg,control_avg,comfort_avg,spin_avg,forgiveness_avg,maneuverability_avg,low_speed_avg,rebound_avg,sweet_spot_avg,ball_output_avg,effect_avg,tolerance_avg,total_avg,has_padelful,padelful_url,padelful_name,has_pala-hack,pala-hack_url,pala-hack_name,has_padelzoom,padelzoom_url,padelzoom_name,has_padelreference,padelreference_url,padelreference_name,has_extreme-tennis,extreme-tennis_url,extreme-tennis_name
racket-00031,Adidas Arrow Hit CTRL 2026,adidas,2026,5,5,padelful|pala-hack|padelzoom|padelreference|extreme-tennis,"{""padelful"": ""https://www.padelful.com/en/rackets/adidas-arrow-hit-ctrl-2026"", ""pala-hack"": ""https://pala-hack.com/en/padel-rackets/adidas/adidas-arrow-hit-ctrl-2026/"", ""padelzoom"": ""https://padelzoom.es/adidas-arrow-hit-ctrl-2026/"", ""padelreference"": ""https://www.padelreference.com/en/padel-rackets/p/adidas-arrow-hit-ctrl-2026"", ""extreme-tennis"": ""https://www.extreme-tennis.eu/adidas-padel-racket/22537-adidas-arrow-hit-ctrl-2026-racket.html""}","[""Adidas Arrow Hit CTRL 2026"", ""Adidas Arrow Hit Ctrl 2026"", ""Adidas Arrow Hit Ctrl 2026 Racket""]",adidas-arrow-hit-control-2026,Round,Medium,Rough,Advanced,"Medium, Soft",360-375 gramos,padelreference,8.683,25.5,26.725,37.5,65.0,79.0,22.525,72.0,9.0,9.1,9.0,7.0,8.0,8.6,1,https://www.padelful.com/en/rackets/adidas-arrow-hit-ctrl-2026,Adidas Arrow Hit CTRL 2026,1,https://pala-hack.com/en/padel-rackets/adidas/adidas-arrow-hit-ctrl-2026/,Adidas Arrow Hit Ctrl 2026,1,https://padelzoom.es/adidas-arrow-hit-ctrl-2026/,Adidas Arrow Hit CTRL 2026,1,https://www.padelreference.com/en/padel-rackets/p/adidas-arrow-hit-ctrl-2026,Adidas Arrow Hit Ctrl 2026,1,https://www.extreme-tennis.eu/adidas-padel-racket/22537-adidas-arrow-hit-ctrl-2026-racket.html,Adidas Arrow Hit Ctrl 2026 Racket
racket-00038,Adidas Cross IT CTRL 2026,adidas,2026,5,5,padelful|pala-hack|padelzoom|padelreference|extreme-tennis,"{""padelful"": ""https://www.padelful.com/en/rackets/adidas-cross-it-ctrl-2026"", ""pala-hack"": ""https://pala-hack.com/en/padel-rackets/adidas/adidas-cross-it-ctrl-2026/"", ""padelzoom"": ""https://padelzoom.es/adidas-cross-it-ctrl-2026/"", ""padelreference"": ""https://www.padelreference.com/en/padel-rackets/p/adidas-cross-it-ctrl-35-2026"", ""extreme-tennis"": ""https://www.extreme-tennis.eu/adidas-padel-racket/22501-adidas-cross-it-ctrl-2026-ortega-racket.html""}","[""Adidas CROSS IT CTRL 3.5 2026"", ""Adidas Cross IT CTRL 2026"", ""Adidas Cross It Ctrl 2026"", ""Adidas Cross It Ctrl 2026 Ortega Racket""]",adidas-cross-it-control-2026,Round,Medium,Rough,Advanced,"Hard, Medium",360-375 gramos,padelreference,8.683,19.35,24.69,43.0,65.0,76.0,23.67,71.0,8.4,9.083,8.625,8.0,8.0,8.725,1,https://www.padelful.com/en/rackets/adidas-cross-it-ctrl-2026,Adidas Cross IT CTRL 2026,1,https://pala-hack.com/en/padel-rackets/adidas/adidas-cross-it-ctrl-2026/,Adidas Cross It Ctrl 2026,1,https://padelzoom.es/adidas-cross-it-ctrl-2026/,Adidas Cross IT CTRL 2026,1,https://www.padelreference.com/en/padel-rackets/p/adidas-cross-it-ctrl-35-2026,Adidas CROSS IT CTRL 3.5 2026,1,https://www.extreme-tennis.eu/adidas-padel-racket/22501-adidas-cross-it-ctrl-2026-ortega-racket.html,Adidas Cross It Ctrl 2026 Ortega Racket
racket-00053,Adidas Drive Black 2026,adidas,2026,5,5,padelful|pala-hack|padelzoom|padelreference|extreme-tennis,"{""padelful"": ""https://www.padelful.com/en/rackets/adidas-drive-black-2026"", ""pala-hack"": ""https://pala-hack.com/en/padel-rackets/adidas/adidas-drive-black-2026/"", ""padelzoom"": ""https://padelzoom.es/adidas-drive-black-2026/"", ""padelreference"": ""https://www.padelreference.com/en/padel-rackets/p/adidas-drive-black-35-2026"", ""extreme-tennis"": ""https://www.extreme-tennis.eu/adidas-padel-racket/22503-adidas-drive-black-2026-racket.html""}","[""ADIDAS Drive Black 3.5 2026"", ""Adidas Drive Black 2026"", ""Adidas Drive Black 2026 Racket""]",adidas-drive-black-2026,Round,Medium,Smooth,Beginner,Soft,360-375 gramos,padelreference,6.117,18.49,20.49,46.0,50.0,87.0,19.53,77.0,5.6,6.083,5.625,5.0,6.0,6.125,1,https://www.padelful.com/en/rackets/adidas-drive-black-2026,Adidas Drive Black 2026,1,https://pala-hack.com/en/padel-rackets/adidas/adidas-drive-black-2026/,Adidas Drive Black 2026,1,https://padelzoom.es/adidas-drive-black-2026/,Adidas Drive Black 2026,1,https://www.padelreference.com/en/padel-rackets/p/adidas-drive-black-35-2026,ADIDAS Drive Black 3.5 2026,1,https://www.extreme-tennis.eu/adidas-padel-racket/22503-adidas-drive-black-2026-racket.html,Adidas Drive Black 2026 Racket
racket-00079,Adidas Metalbone 2026 - Ale Galan,adidas,2026,5,5,padelful|pala-hack|padelzoom|padelreference|extreme-tennis,"{""padelful"": ""https://www.padelful.com/en/rackets/adidas-metalbone-2026-ale-galan"", ""pala-hack"": ""https://pala-hack.com/en/padel-rackets/adidas/adidas-metalbone-35-ale-galan-2026/"", ""padelzoom"": ""https://padelzoom.es/adidas-metalbone-2026-ale-galan/"", ""padelreference"": ""https://www.padelreference.com/en/padel-rackets/p/adidas-metalbone-35-2026"", ""extreme-tennis"": ""https://www.extreme-tennis.eu/adidas-padel-racket/22529-adidas-metalbone-2026-galan-racket.html""}","[""Adidas Metalbone 2026 - Ale Galan"", ""Adidas Metalbone 2026 Galán Racket"", ""Adidas Metalbone 3.5 2026"", ""Adidas Metalbone 3.5 Ale Galán 2026""]",adidas-metalbone-2026-ale-galan,Diamond,High,Rough,Advanced,"Hard, Medium","345-360 gr +(0-11,2)",padelreference,8.717,28.525,20.55,40.0,68.0,71.0,19.75,82.0,9.4,8.1,9.5,9.0,8.0,8.6,1,https://www.padelful.com/en/rackets/adidas-metalbone-2026-ale-galan,Adidas Metalbone 2026 - Ale Galan,1,https://pala-hack.com/en/padel-rackets/adidas/adidas-metalbone-35-ale-galan-2026/,Adidas Metalbone 3.5 Ale Galán 2026,1,https://padelzoom.es/adidas-metalbone-2026-ale-galan/,Adidas Metalbone 2026 - Ale Galan,1,https://www.padelreference.com/en/padel-rackets/p/adidas-metalbone-35-2026,Adidas Metalbone 3.5 2026,1,https://www.extreme-tennis.eu/adidas-padel-racket/22529-adidas-metalbone-2026-galan-racket.html,Adidas Metalbone 2026 Galán Racket
racket-00090,Adidas Metalbone Carbon CTRL 2026,adidas,2026,5,5,padelful|pala-hack|padelzoom|padelreference|extreme-tennis,"{""padelful"": ""https://www.padelful.com/en/rackets/adidas-metalbone-carbon-ctrl-2026"", ""pala-hack"": ""https://pala-hack.com/en/padel-rackets/adidas/adidas-metalbone-carbon-ctrl-2026/"", ""padelzoom"": ""https://padelzoom.es/adidas-metalbone-carbon-ctrl-2026/"", ""padelreference"": ""https://www.padelreference.com/en/padel-rackets/p/adidas-metalbone-carbon-ctrl-35-2026"", ""extreme-tennis"": ""https://www.extreme-tennis.eu/adidas-padel-racket/22535-adidas-metalbone-carbon-ctrl-2026-racket.html""}","[""Adidas Metalbone Carbon CTRL 2026"", ""Adidas Metalbone Carbon CTRL 3.5 2026"", ""Adidas Metalbone Carbon Ctrl 2026"", ""Adidas Metalbone Carbon Ctrl 2026 Racket""]",adidas-metalbone-carbon-control-2026,Round,Medium,Rough,Advanced,"Medium, Soft",360-375 gramos,padelreference,8.617,22.975,28.275,41.5,65.0,83.0,25.3,75.0,9.7,8.45,9.5,8.0,8.0,8.5,1,https://www.padelful.com/en/rackets/adidas-metalbone-carbon-ctrl-2026,Adidas Metalbone Carbon CTRL 2026,1,https://pala-hack.com/en/padel-rackets/adidas/adidas-metalbone-carbon-ctrl-2026/,Adidas Metalbone Carbon Ctrl 2026,1,https://padelzoom.es/adidas-metalbone-carbon-ctrl-2026/,Adidas Metalbone Carbon CTRL 2026,1,https://www.padelreference.com/en/padel-rackets/p/adidas-metalbone-carbon-ctrl-35-2026,Adidas Metalbone Carbon CTRL 3.5 2026,1,https://www.extreme-tennis.eu/adidas-padel-racket/22535-adidas-metalbone-carbon-ctrl-2026-racket.html,Adidas Metalbone Carbon Ctrl 2026 Racket
racket-00111,Adidas Metalbone Team Light 2026,adidas,2026,5,5,padelful|pala-hack|padelzoom|padelreference|extreme-tennis,"{""padelful"": ""https://www.padelful.com/en/rackets/adidas-metalbone-team-light-2026"", ""pala-hack"": ""https://pala-hack.com/en/padel-rackets/adidas/adidas-metalbone-team-light-2026/"", ""padelzoom"": ""https://padelzoom.es/adidas-metalbone-team-light-2026/"", ""padelreference"": ""https://www.padelreference.com/en/padel-rackets/p/adidas-metalbone-team-light-35-2026"", ""extreme-tennis"": ""https://www.extreme-tennis.eu/adidas-padel-racket/22532-adidas-metalbone-team-light-2026-racket.html""}","[""Adidas Metalbone Team Light 2026"", ""Adidas Metalbone Team Light 2026 Racket"", ""Adidas Metalbone Team Light 3.5 2026""]",adidas-metalbone-team-light-2026,Round,Medium,Rough,Intermediate,"Medium, Soft",345-360 gramos,padelreference,8.283,19.775,25.0,50.0,85.0,91.0,26.025,83.0,8.5,8.45,8.5,8.0,8.0,8.2,1,https://www.padelful.com/en/rackets/adidas-metalbone-team-light-2026,Adidas Metalbone Team Light 2026,1,https://pala-hack.com/en/padel-rackets/adidas/adidas-metalbone-team-light-2026/,Adidas Metalbone Team Light 2026,1,https://padelzoom.es/adidas-metalbone-team-light-2026/,Adidas Metalbone Team Light 2026,1,https://www.padelreference.com/en/padel-rackets/p/adidas-metalbone-team-light-35-2026,Adidas Metalbone Team Light 3.5 2026,1,https://www.extreme-tennis.eu/adidas-padel-racket/22532-adidas-metalbone-team-light-2026-racket.html,Adidas Metalbone Team Light 2026 Racket
racket-00126,Adidas RX Series 2026,adidas,2026,5,5,padelful|pala-hack|padelzoom|padelreference|extreme-tennis,"{""padelful"": ""https://www.padelful.com/en/rackets/adidas-rx-series-2026"", ""pala-hack"": ""https://pala-hack.com/en/padel-rackets/adidas/adidas-rx-series-2026/"", ""padelzoom"": ""https://padelzoom.es/adidas-rx-series-2026/"", ""padelreference"": ""https://www.padelreference.com/en/padel-rackets/p/adidas-rx-series-2026"", ""extreme-tennis"": ""https://www.extreme-tennis.eu/adidas-padel-racket/22502-adidas-rx-series-2026-racket.html""}","[""ADIDAS RX Series 2026"", ""Adidas RX Series 2026"", ""Adidas RX Series 2026 Racket"", ""Adidas Rx Series 2026""]",adidas-rx-series-2026,Round,Medium,Smooth,Intermediate,"Medium, Soft",360-375 gramos,padelreference,7.15,16.81,21.45,51.5,40.0,92.0,22.43,77.0,7.5,7.083,7.625,5.0,6.0,7.225,1,https://www.padelful.com/en/rackets/adidas-rx-series-2026,Adidas RX Series 2026,1,https://pala-hack.com/en/padel-rackets/adidas/adidas-rx-series-2026/,Adidas Rx Series 2026,1,https://padelzoom.es/adidas-rx-series-2026/,Adidas RX Series 2026,1,https://www.padelreference.com/en/padel-rackets/p/adidas-rx-series-2026,ADIDAS RX Series 2026,1,https://www.extreme-tennis.eu/adidas-padel-racket/22502-adidas-rx-series-2026-racket.html,Adidas RX Series 2026 Racket
racket-00196,Babolat Stima Spirit 2023,babolat,2023,5,5,padelful|pala-hack|padelzoom|padelreference|extreme-tennis,"{""padelful"": ""https://www.padelful.com/en/rackets/babolat-stima-spirit-2023"", ""pala-hack"": ""https://pala-hack.com/en/padel-rackets/babolat/babolat-stima-spirit-2023/"", ""padelzoom"": ""https://padelzoom.es/babolat-stima-spirit-2023/"", ""padelreference"": ""https://www.padelreference.com/en/padel-rackets/p/babolat-stima-spirit"", ""extreme-tennis"": ""https://www.extreme-tennis.eu/babolat-padel-rackets/22646-babolat-stima-spirit-racket.html""}","[""Babolat Stima Spirit"", ""Babolat Stima Spirit 2023"", ""Babolat Stima Spirit racket""]",babolat-stima-spirit-2023,Round,Medium,Rough,Intermediate,"Medium, Soft",325-345 gramos,padelreference,8.083,17.03,21.19,48.5,50.0,87.0,22.49,77.0,9.0,8.883,9.125,7.0,9.0,8.125,1,https://www.padelful.com/en/rackets/babolat-stima-spirit-2023,Babolat Stima Spirit 2023,1,https://pala-hack.com/en/padel-rackets/babolat/babolat-stima-spirit-2023/,Babolat Stima Spirit 2023,1,https://padelzoom.es/babolat-stima-spirit-2023/,Babolat Stima Spirit 2023,1,https://www.padelreference.com/en/padel-rackets/p/babolat-stima-spirit,Babolat Stima Spirit,1,https://www.extreme-tennis.eu/babolat-padel-rackets/22646-babolat-stima-spirit-racket.html,Babolat Stima Spirit racket
racket-00363,Bullpadel Vertex 05 GEO 2026 Pablo Cardona,bullpadel,2026,5,5,padelful|pala-hack|padelzoom|padelreference|extreme-tennis,"{""padelful"": ""https://www.padelful.com/en/rackets/bullpadel-vertex-05-geo-2026-pablo-cardona"", ""pala-hack"": ""https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-vertex-05-geo-2026/"", ""padelzoom"": ""https://padelzoom.es/bullpadel-vertex-05-geo-2026-pablo-cardona/"", ""padelreference"": ""https://www.padelreference.com/en/padel-rackets/p/bullpadel-vertex-05-geo-2026"", ""extreme-tennis"": ""https://www.extreme-tennis.eu/bullpadel-padel-rackets/22059-bullpadel-vertex-05-geo-26-racket.html""}","[""Bullpadel Vertex 05 GEO 2026"", ""Bullpadel Vertex 05 GEO 2026 Pablo Cardona"", ""Bullpadel Vertex 05 Geo 26 racket"", ""Bullpadel Vertex 05 Geo Pablo Cardona 2026""]",bullpadel-vertex-05-geo-2026-pablo-cardona,Diamond,High,Rough,Advanced,"Hard, Medium",365-375 gramos,padelreference,8.683,26.225,26.025,35.0,88.0,67.0,22.975,69.0,7.4,9.1,7.5,8.0,7.0,8.6,1,https://www.padelful.com/en/rackets/bullpadel-vertex-05-geo-2026-pablo-cardona,Bullpadel Vertex 05 GEO 2026 Pablo Cardona,1,https://pala-hack.com/en/padel-rackets/bullpadel/bullpadel-vertex-05-geo-2026/,Bullpadel Vertex 05 Geo Pablo Cardona 2026,1,https://padelzoom.es/bullpadel-vertex-05-geo-2026-pablo-cardona/,Bullpadel Vertex 05 GEO 2026 Pablo Cardona,1,https://www.padelreference.com/en/padel-rackets/p/bullpadel-vertex-05-geo-2026,Bullpadel Vertex 05 GEO 2026,1,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22059-bullpadel-vertex-05-geo-26-racket.html,Bullpadel Vertex 05 Geo 26 racket
racket-00571,Head Coello Vibe 2025,head,2025,5,5,padelful|pala-hack|padelzoom|padelreference|extreme-tennis,"{""padelful"": ""https://www.padelful.com/en/rackets/head-coello-vibe-2025"", ""pala-hack"": ""https://pala-hack.com/en/padel-rackets/head/head-coello-vibe-2025/"", ""padelzoom"": ""https://padelzoom.es/head-coello-vibe-2025/"", ""padelreference"": ""https://www.padelreference.com/en/padel-rackets/p/head-coello-vibe-2025"", ""extreme-tennis"": ""https://www.extreme-tennis.eu/head-padel-rackets/22428-head-coello-vibe-2025-pack.html""}","[""Head Coello Vibe 2025"", ""Head Coello Vibe 2025 Pack""]",head-coello-vibe-2025,Teardrop,Medium,Smooth,"Beginner, Intermediate",Soft,360 gramos,padelreference,7.167,19.47,18.27,52.0,42.0,82.0,18.78,91.0,7.5,7.05,7.625,5.0,8.0,7.2,1,https://www.padelful.com/en/rackets/head-coello-vibe-2025,Head Coello Vibe 2025,1,https://pala-hack.com/en/padel-rackets/head/head-coello-vibe-2025/,Head Coello Vibe 2025,1,https://padelzoom.es/head-coello-vibe-2025/,Head Coello Vibe 2025,1,https://www.padelreference.com/en/padel-rackets/p/head-coello-vibe-2025,Head Coello Vibe 2025,1,https://www.extreme-tennis.eu/head-padel-rackets/22428-head-coello-vibe-2025-pack.html,Head Coello Vibe 2025 Pack
